N;Zeit in s (je N)
1;0,00022
2;0,000033
3;0,000033
4;0,000029
5;0,000029
6;0,000044
7;0,000047
8;0,000043
9;0,000061
10;0,000049
11;0,000043
12;0,000062
13;0,000058
14;0,000069
15;0,000057
16;0,000058
17;0,00009
18;0,00009
19;0,000109
20;0,000131
21;0,000134
22;0,000161
23;0,000179
24;0,000226
25;0,000315
26;0,001345
27;0,000686
28;0,001021
29;0,001641
30;0,002523
31;0,004077
32;0,00642
33;0,010481
34;0,016789
35;0,026196
36;0,046749
37;0,072093
38;0,114209
39;0,180129
40;0,296108
41;0,50082
42;0,769496
43;1,249385
44;2,005809
45;3,290024
46;5,228724
47;8,459272
48;13,656471
49;22,263917
50;36,21822
