character;bf_success;bf_failure;bm_success;bm_failure;kmp_success;kmp_failure
'   ';0;231;0;15;0;231
' , ';0;16;0;7;0;16
' . ';0;11;0;0;0;11
' A ';0;3;0;0;0;3
' D ';0;1;0;1;0;1
' L ';0;7;0;0;0;7
' S ';0;3;0;3;0;3
' U ';0;1;0;0;0;1
' a ';3;100;1;6;3;98
' b ';0;14;0;1;0;14
' c ';1;28;1;0;1;28
' d ';0;58;0;4;0;58
' e ';1;131;1;11;1;131
' f ';0;4;0;0;0;4
' g ';0;21;0;7;0;21
' h ';0;2;0;0;0;2
' i ';0;98;0;17;0;98
' j ';0;3;0;0;0;3
' k ';0;6;0;6;0;6
' l ';7;53;2;6;7;48
' m ';1;86;1;20;1;86
' n ';0;58;0;9;0;58
' o ';1;91;1;17;1;91
' p ';1;26;1;1;1;26
' q ';0;7;0;0;0;7
' r ';2;71;17;0;2;71
' s ';0;88;0;1;0;88
' t ';0;117;0;22;0;117
' u ';77;0;1;5;77;0
' v ';0;16;0;4;0;16
' w ';0;1;0;0;0;1
' x ';0;1;0;0;0;1
' y ';0;10;0;0;0;10
' z ';0;2;0;0;0;2

bf_total;1459
bm_total;189
kmp_total;1452
